"url_img","title","old_price","new_price"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_UYkQMiEBDgG2s52vA3KhrCEB.jpg","Giày nữ Puma Mule Ribbon ‘Black’","","1.500.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_Dp7ZODMnv97b3OoVs9z57QYX.png","Giày Puma Slip on Bale Bari Mule “White”","","1.900.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_e6Su1cxQooeQVIHl10euNK2H.jpg","Giày Puma Slip on Bale Bari Mule “Black”","","1.350.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_BlRpRJxaI67J5eb1cxWxa5hD.jpg","Giày nữ Puma Mule Ribbon ‘White Black’","","1.200.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_qgY0nJMQeyNShMvEeHR9NZsi.jpg","Giày nữ Puma J. Cole x RS-Dreamer Jr ‘Ebony and Ivory’","","3.400.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_b2ovLNNI1w3NLeQR0kgQU5jq.jpg","Giày nam Puma RS-Fast ‘International Game’","","4.780.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_pLvXM1ql1LKOsQZJIC7iyCNz.jpg","Giày nam Puma Porsche Legacy x RS-Fast ‘Black Carrot’","","7.890.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_igLaig6Oy2KX38CXwnZMWMW7.png","Giày nam Puma J. Cole x RS-Dreamer 2 ‘Off-Season Red’","","6.495.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_AL4qsPj4icolyZynz2BpJyb3.png","Giày nữ Nike Air Max 90 SE GS ‘Worldwide Pack – SEFA20’","","5.600.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_6w4KmkYosjIyZQ9W4hiQqlDl.png","Giày Nike Air Max 90 ‘Lucha Libre’","","4.500.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_hJrxOJaghi4UbbohE5LHk0jJ.png","Giày Nike Air Max 90 ‘Nordic Christmas’","","5.690.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_esB2EMVEf7zluDRpFQwey9vo.png","Giày Nike Air Max 90 SE ‘Remix Pack’","","3.300.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220322_zG8HeLiaFEeZzznjSkmnhsqx.png","Giày Nike NikeLab Air Max 1 Pinnacle ‘Sand’","","5.400.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220322_qMyWDfxPNvHlQTmdUnjhonEV.png","Giày Nike Patta x Air Max 1 ‘Noise Aqua’","","30.000.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220322_Lhy6wBiZqPDACxIW5pnfJfVy.png","Giay Nike Air Max 1 LV8 ‘Obsidian’","","8.900.000 ₫"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC","Giày nam Nike Air Max 1 ‘Sketch To Shelf – University Red’","","6.780.000 ₫"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC","Giày Nike Air Zoom Pegasus 38 ‘Black Light Crimson’","","3.200.000 ₫"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC","Giày Nike Air Zoom Pegasus 38 ‘University Gold’","","3.200.000 ₫"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC","Giày nam Nike Air Zoom Pegasus 38 ‘Pure Platinum’","","4.500.000 ₫"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC","Giày Nike Air Zoom Winflo 8 ‘Rawdacious’","","2.990.000 ₫"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC","Giày adidas Yeezy Boost 350 V2 ‘Red Night’","","12.000.000 ₫"
