"url_img","title","old_price","new_price"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_HsbcLEXgZQVPpKxTbjy5mlIv.jpg","Mũ MLB Coolfield Unstructured New York Yankees ‘Black’","590.000 ₫","413.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_WEk0Vj0F7xuzyxP5qKkILlSc.png","Mũ Nike Sportswear Heritage86 Beach Cap","490.000 ₫","343.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_dvWXYRWg1RNqs3sHUudkjuSk.png","Mũ Fear Of God Essentials RC 9Fifty Cap Moonstruck","1.250.000 ₫","875.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_yxoGlFm2ABbN0fI0r7TlQaiX.png","Mũ Nike U NK H86 CAP Washed","1.250.000 ₫","875.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_c5sid3F8ks12RHPYFLBpfdRZ.png","Mũ Drew House Corduroy Bucket Hat","1.250.000 ₫","875.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_41dX9g24djYJmWH39dL5xWHN.png","Mũ Fear Of God Essentials RC 9Fifty Cap","12.500.000 ₫","8.750.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_kfixA105QQYmAYeLEEPiX1OQ.jpg","Mũ MLB Coolfield Unstructured LA Dodgers ‘White’","1.790.000 ₫","1.253.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_JFpmy42WiNM4InGra8kM1JXt.jpg","Dép MLB Logo New York Yankees ‘Black’","1.299.000 ₫","1.100.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_HVYWyZRlPwAWRLDvR4SLXo8b.jpg","Tất HAPPY SOCKS","490.000 ₫","343.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_vBdluddzIkgbzH7sQe5zSSC5.jpg","Tất HAPPY SOCKS Zebra","450.000 ₫","315.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_6gotfVFJaXihIBeZVenBgjWJ.jpg","Tất HAPPY SOCKS Faded Diamond","450.000 ₫","315.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_CA21KtclAOpKKflSQsqXyGWj.jpg","Tất HAPPY SOCKS Stripe","450.000 ₫","315.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_FAzmcIFVuUelcCaFylF1HuZE.png","Kính Gucci Black Square Eyeglasses","3.999.000 ₫","3.890.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_XHh2gIQlmse66PJX3d9S3RxR.png","Kính Gucci Shiny Black Red","4.010.000 ₫","3.590.000 ₫"
"https://pos.nvncdn.com/eb9ddb-116318/ps/20220323_2ncyiaOEqjupKJVQ06z0420b.png","Kính Gucci Havana","6.100.000 ₫","5.490.000 ₫"
